siKoda;normalizirana;SLOVENSKI NAZIV
M41.18;M4118;Juvenilna idiopatska skolioza, sakralni in sakrokokcigealni predel
M41.19;M4119;Juvenilna idiopatska skolioza, neopredeljeno mesto
M41.2;M412;Druge vrste idiopatska skolioza
M41.20;M4120;Druge vrste idiopatska skolioza, več mest na hrbtenici
M41.21;M4121;Druge vrste idiopatska skolioza, okcipitalni–atlanto – aksialni predel področje
M41.22;M4122;Druge vrste idiopatska skolioza, cervikalni predel
M41.23;M4123;Druge vrste idiopatska skolioza, cervikotorakalni predel
M41.24;M4124;Druge vrste idiopatska skolioza, torakalni predel
M41.25;M4125;Druge vrste idiopatska skolioza, torakolumbalni predel
M41.26;M4126;Druge vrste idiopatska skolioza, lumbalni predel
M41.27;M4127;Druge vrste idiopatska skolioza, lumbosakralni predel
M41.28;M4128;Druge vrste idiopatska skolioza, sakralni in sakrokokcigealni predel
M41.29;M4129;Druge vrste idiopatska skolioza, neopredeljeno mesto
M41.3;M413;Torakogena skolioza
M41.30;M4130;Torakogena skolioza, več mest na hrbtenici
M41.31;M4131;Torakogena skolioza, okcipitalni–atlanto – aksialni predel področje
M41.32;M4132;Torakogena skolioza, cervikalni predel
M41.33;M4133;Torakogena skolioza, cervikotorakalni predel
M41.34;M4134;Torakogena skolioza, torakalni predel
M41.35;M4135;Torakogena skolioza, torakolumbalni predel
M41.36;M4136;Torakogena skolioza, lumbalni predel
M41.37;M4137;Torakogena skolioza, lumbosakralni predel
M41.38;M4138;Torakogena skolioza, sakralni in sakrokokcigealni predel
M41.39;M4139;Torakogena skolioza, neopredeljeno mesto
M41.4;M414;Živčnomišična (nevromuskularna) skolioza
M41.40;M4140;Živčnomišična (nevromuskularna) skolioza, več mest na hrbtenici
M41.41;M4141;Živčnomišična (nevromuskularna) skolioza, okcipitalni–atlanto – aksialni predel področje
M41.42;M4142;Živčnomišična (nevromuskularna) skolioza, cervikalni predel
M41.43;M4143;Živčnomišična (nevromuskularna) skolioza, cervikotorakalni predel
M41.44;M4144;Živčnomišična (nevromuskularna) skolioza, torakalni predel
M41.45;M4145;Živčnomišična (nevromuskularna) skolioza, torakolumbalni predel
M41.46;M4146;Živčnomišična (nevromuskularna) skolioza, lumbalni predel
M41.47;M4147;Živčnomišična (nevromuskularna) skolioza, lumbosakralni predel
M41.48;M4148;Živčnomišična (nevromuskularna) skolioza, sakralni in sakrokokcigealni predel
M41.49;M4149;Živčnomišična (nevromuskularna) skolioza, neopredeljeno mesto
M41.5;M415;Druge vrste sekundarna skolioza
M41.50;M4150;Druge vrste sekundarna skolioza, več mest na hrbtenici
M41.51;M4151;Druge vrste sekundarna skolioza, okcipitalni–atlanto – aksialni predel področje
M41.52;M4152;Druge vrste sekundarna skolioza, cervikalni predel
M41.53;M4153;Druge vrste sekundarna skolioza, cervikotorakalni predel
M41.54;M4154;Druge vrste sekundarna skolioza, torakalni predel
M41.55;M4155;Druge vrste sekundarna skolioza, torakolumbalni predel
M41.56;M4156;Druge vrste sekundarna skolioza, lumbalni predel
M41.57;M4157;Druge vrste sekundarna skolioza, lumbosakralni predel
M41.58;M4158;Druge vrste sekundarna skolioza, sakralni in sakrokokcigealni predel
M41.59;M4159;Druge vrste sekundarna skolioza, neopredeljeno mesto
M41.8;M418;Druge oblike skolioze
M41.80;M4180;Druge oblike skolioze, več mest na hrbtenici
M41.81;M4181;Druge oblike skolioze, okcipitalni–atlanto – aksialni predel področje
M41.82;M4182;Druge oblike skolioze, cervikalni predel
M41.83;M4183;Druge oblike skolioze, cervikotorakalni predel
M41.84;M4184;Druge oblike skolioze, torakalni predel
M41.85;M4185;Druge oblike skolioze, torakolumbalni predel
M41.86;M4186;Druge oblike skolioze, lumbalni predel
M41.87;M4187;Druge oblike skolioze, lumbosakralni predel
M41.88;M4188;Druge oblike skolioze, sakralni in sakrokokcigealni predel
M41.89;M4189;Druge oblike skolioze, neopredeljeno mesto
M41.9;M419;Skolioza, neopredeljena
M41.90;M4190;Skolioza, neopredeljena, več mest na hrbtenici
M41.91;M4191;Skolioza, neopredeljena, okcipitalni–atlanto – aksialni predel področje
M41.92;M4192;Skolioza, neopredeljena, cervikalni predel
M41.93;M4193;Skolioza, neopredeljena, cervikotorakalni predel
M41.94;M4194;Skolioza, neopredeljena, torakalni predel
M41.95;M4195;Skolioza, neopredeljena, torakolumbalni predel
M41.96;M4196;Skolioza, neopredeljena, lumbalni predel
M41.97;M4197;Skolioza, neopredeljena, lumbosakralni predel
M41.98;M4198;Skolioza, neopredeljena, sakralni in sakrokokcigealni predel
M41.99;M4199;Skolioza, neopredeljena, neopredeljeno mesto
M42;M42;Osteohondroza hrbtenice
M42.0;M420;Juvenilna osteohondroza hrbtenice
M42.00;M4200;Juvenilna osteohondroza hrbtenice, več mest na hrbtenici
M42.01;M4201;Juvenilna osteohondroza hrbtenice, okcipitalni–atlanto – aksialni predel področje
M42.02;M4202;Juvenilna osteohondroza hrbtenice, cervikalni predel
M42.03;M4203;Juvenilna osteohondroza hrbtenice, cervikotorakalni predel
M42.04;M4204;Juvenilna osteohondroza hrbtenice, torakalni predel
M42.05;M4205;Juvenilna osteohondroza hrbtenice, torakolumbalni predel
M42.06;M4206;Juvenilna osteohondroza hrbtenice, lumbalni predel
M42.07;M4207;Juvenilna osteohondroza hrbtenice, lumbosakralni predel
M42.08;M4208;Juvenilna osteohondroza hrbtenice, sakralni in sakrokokcigealni predel
M42.09;M4209;Juvenilna osteohondroza hrbtenice, neopredeljeno mesto
M42.1;M421;Osteohondroza hrbtenice odraslih
M42.10;M4210;Osteohondroza hrbtenice odraslih, več mest na hrbtenici
M42.11;M4211;Osteohondroza hrbtenice odraslih, okcipitalni–atlanto – aksialni predel področje
M42.12;M4212;Osteohondroza hrbtenice odraslih, cervikalni predel
M42.13;M4213;Osteohondroza hrbtenice odraslih, cervikotorakalni predel
M42.14;M4214;Osteohondroza hrbtenice odraslih, torakalni predel
M42.15;M4215;Osteohondroza hrbtenice odraslih, torakolumbalni predel
M42.16;M4216;Osteohondroza hrbtenice odraslih, lumbalni predel
M42.17;M4217;Osteohondroza hrbtenice odraslih, lumbosakralni predel
M42.18;M4218;Osteohondroza hrbtenice odraslih, sakralni in sakrokokcigealni predel
M42.19;M4219;Osteohondroza hrbtenice odraslih, neopredeljeno mesto
M42.9;M429;Osteohondroza hrbtenice, neopredeljena
M42.90;M4290;Osteohondroza hrbtenice, neopredeljena, več mest na hrbtenici
M42.91;M4291;Osteohondroza hrbtenice, neopredeljena, okcipitalni–atlanto – aksialni predel področje
M42.92;M4292;Osteohondroza hrbtenice, neopredeljena, cervikalni predel
M42.93;M4293;Osteohondroza hrbtenice, neopredeljena, cervikotorakalni predel
M42.94;M4294;Osteohondroza hrbtenice, neopredeljena, torakalni predel
M42.95;M4295;Osteohondroza hrbtenice, neopredeljena, torakolumbalni predel
M42.96;M4296;Osteohondroza hrbtenice, neopredeljena, lumbalni predel
M42.97;M4297;Osteohondroza hrbtenice, neopredeljena, lumbosakralni predel
M42.98;M4298;Osteohondroza hrbtenice, neopredeljena, sakralni in sakrokokcigealni predel
M42.99;M4299;Osteohondroza hrbtenice, neopredeljena, neopredeljeno mesto
M43;M43;Druge deformirajoče bolezni hrbta (dorzopatije)
M43.0;M430;Spondiloliza
M43.00;M4300;Spondiloliza, več mest na hrbtenici
M43.01;M4301;Spondiloliza, okcipitalni–atlanto – aksialni predel področje
M43.02;M4302;Spondiloliza, cervikalni predel
M43.03;M4303;Spondiloliza, cervikotorakalni predel
M43.04;M4304;Spondiloliza, torakalni predel
M43.05;M4305;Spondiloliza, torakolumbalni predel
M43.06;M4306;Spondiloliza, lumbalni predel
M43.07;M4307;Spondiloliza, lumbosakralni predel
M43.08;M4308;Spondiloliza, sakralni in sakrokokcigealni predel
M43.09;M4309;Spondiloliza, neopredeljeno mesto
M43.1;M431;Spondilolisteza
M43.10;M4310;Spondilolisteza, več mest na hrbtenici
M43.11;M4311;Spondilolisteza, okcipitalni–atlanto – aksialni predel področje
M43.12;M4312;Spondilolisteza, cervikalni predel
M43.13;M4313;Spondilolisteza, cervikotorakalni predel
M43.14;M4314;Spondilolisteza, torakalni predel
M43.15;M4315;Spondilolisteza, torakolumbalni predel
M43.16;M4316;Spondilolisteza, lumbalni predel
M43.17;M4317;Spondilolisteza, lumbosakralni predel
M43.18;M4318;Spondilolisteza, sakralni in sakrokokcigealni predel
M43.19;M4319;Spondilolisteza, neopredeljeno mesto
M43.2;M432;Druge spojitve (fuzije) hrbtenice
M43.20;M4320;Druge spojitve (fuzije) hrbtenice, več mest na hrbtenici
M43.21;M4321;Druge spojitve (fuzije) hrbtenice, okcipitalni–atlanto – aksialni predel področje
M43.22;M4322;Druge spojitve (fuzije) hrbtenice, cervikalni predel
M43.23;M4323;Druge spojitve (fuzije) hrbtenice, cervikotorakalni predel
M43.24;M4324;Druge spojitve (fuzije) hrbtenice, torakalni predel
M43.25;M4325;Druge spojitve (fuzije) hrbtenice, torakolumbalni predel
M43.26;M4326;Druge spojitve (fuzije) hrbtenice, lumbalni predel
M43.27;M4327;Druge spojitve (fuzije) hrbtenice, lumbosakralni predel
M43.28;M4328;Druge spojitve (fuzije) hrbtenice, sakralni in sakrokokcigealni predel
M43.29;M4329;Druge spojitve (fuzije) hrbtenice, neopredeljeno mesto
M43.3;M433;Ponavljajoča se atlantoaksialna subluksacija z mielopatijo
M43.4;M434;Druge vrste ponavljajoča se atlantoaksialna subluksacija
M43.5;M435;Druge vrste ponavljajoča se vertebralna subluksacija
M43.50;M4350;Druge vrste ponavljajoča se vertebralna subluksacija, več mest na hrbtenici
M43.52;M4352;Druge vrste ponavljajoča se vertebralna subluksacija, cervikalni predel
M43.53;M4353;Druge vrste ponavljajoča se vertebralna subluksacija, cervikotorakalni predel
M43.54;M4354;Druge vrste ponavljajoča se vertebralna subluksacija, torakalni predel
M43.55;M4355;Druge vrste ponavljajoča se vertebralna subluksacija, torakolumbalni predel
M43.56;M4356;Druge vrste ponavljajoča se vertebralna subluksacija, lumbalni predel
M43.57;M4357;Druge vrste ponavljajoča se vertebralna subluksacija, lumbosakralni predel
M43.58;M4358;Druge vrste ponavljajoča se vertebralna subluksacija, sakralni in sakrokokcigealni predel
M43.59;M4359;Druge vrste ponavljajoča se vertebralna subluksacija, neopredeljeno mesto
M43.6;M436;Tortikolis
M43.8;M438;Druge opredeljene deformirajoče bolezni hrbta (dorzopatije)
M43.80;M4380;Druge opredeljene deformirajoče bolezni hrbta (dorzopatije), več mest na hrbtenici
M43.81;M4381;Druge opredeljene deformirajoče bolezni hrbta (dorzopatije), okcipitalni–atlanto – aksialni predel področje
M43.82;M4382;Druge opredeljene deformirajoče bolezni hrbta (dorzopatije), cervikalni predel
M43.83;M4383;Druge opredeljene deformirajoče bolezni hrbta (dorzopatije), cervikotorakalni predel
M43.84;M4384;Druge opredeljene deformirajoče bolezni hrbta (dorzopatije), torakalni predel
M43.85;M4385;Druge opredeljene deformirajoče bolezni hrbta (dorzopatije), torakolumbalni predel
M43.86;M4386;Druge opredeljene deformirajoče bolezni hrbta (dorzopatije), lumbalni predel
M43.87;M4387;Druge opredeljene deformirajoče bolezni hrbta (dorzopatije), lumbosakralni predel
M43.88;M4388;Druge opredeljene deformirajoče bolezni hrbta (dorzopatije), sakralni in sakrokokcigealni predel
M43.89;M4389;Druge opredeljene deformirajoče bolezni hrbta (dorzopatije), neopredeljeno mesto
M43.9;M439;Deformirajoča bolezen hrbta, neopredeljena
M43.90;M4390;Deformirajoča bolezen hrbta, neopredeljena, več mest na hrbtenici
M43.91;M4391;Deformirajoča bolezen hrbta, neopredeljena, okcipitalni–atlanto – aksialni predel področje
M43.92;M4392;Deformirajoča bolezen hrbta, neopredeljena, cervikalni predel
M43.93;M4393;Deformirajoča bolezen hrbta, neopredeljena, cervikotorakalni predel
M43.94;M4394;Deformirajoča bolezen hrbta, neopredeljena, torakalni predel
M43.95;M4395;Deformirajoča bolezen hrbta, neopredeljena, torakolumbalni predel
M43.96;M4396;Deformirajoča bolezen hrbta, neopredeljena, lumbalni predel
M43.97;M4397;Deformirajoča bolezen hrbta, neopredeljena, lumbosakralni predel
M43.98;M4398;Deformirajoča bolezen hrbta, neopredeljena, sakralni in sakrokokcigealni predel
M43.99;M4399;Deformirajoča bolezen hrbta, neopredeljena, neopredeljeno mesto
M45;M45;Ankilozirajoči spondilitis
M45.0;M450;Ankilozirajoči spondilitis
M45.00;M4500;Ankilozirajoči spondilitis, več mest na hrbtenici
M45.01;M4501;Ankilozirajoči spondilitis, okcipitalni–atlanto – aksialni predel področje
M45.02;M4502;Ankilozirajoči spondilitis, cervikalni predel
M45.03;M4503;Ankilozirajoči spondilitis, cervikotorakalni predel
M45.04;M4504;Ankilozirajoči spondilitis, torakalni predel
M45.05;M4505;Ankilozirajoči spondilitis, torakolumbalni predel
M45.06;M4506;Ankilozirajoči spondilitis, lumbalni predel
M45.07;M4507;Ankilozirajoči spondilitis, lumbosakralni predel
M45.08;M4508;Ankilozirajoči spondilitis, sakralni in sakrokokcigealni predel
M45.09;M4509;Ankilozirajoči spondilitis, neopredeljeno mesto
M46;M46;Druge vnetne spondilopatije
M46.0;M460;Spinalna entezopatija
M46.00;M4600;Spinalna entezopatija, več mest na hrbtenici
M46.01;M4601;Spinalna entezopatija, okcipitalni–atlanto – aksialni predel področje
M46.02;M4602;Spinalna entezopatija, cervikalni predel
M46.03;M4603;Spinalna entezopatija, cervikotorakalni predel
M46.04;M4604;Spinalna entezopatija, torakalni predel
M46.05;M4605;Spinalna entezopatija, torakolumbalni predel
M46.06;M4606;Spinalna entezopatija, lumbalni predel
M46.07;M4607;Spinalna entezopatija, lumbosakralni predel
M46.08;M4608;Spinalna entezopatija, sakralni in sakrokokcigealni predel
M46.09;M4609;Spinalna entezopatija, neopredeljeno mesto
M46.1;M461;Sakroiliitis, ki ni uvrščen drugje
M46.2;M462;Osteomielitis vretenca
M46.20;M4620;Osteomielitis vretenca, več mest na hrbtenici
M46.21;M4621;Osteomielitis vretenca, okcipitalni–atlanto – aksialni predel področje
M46.22;M4622;Osteomielitis vretenca, cervikalni predel
M46.23;M4623;Osteomielitis vretenca, cervikotorakalni predel
M46.24;M4624;Osteomielitis vretenca, torakalni predel
M46.25;M4625;Osteomielitis vretenca, torakolumbalni predel
M46.26;M4626;Osteomielitis vretenca, lumbalni predel
M46.27;M4627;Osteomielitis vretenca, lumbosakralni predel
M46.28;M4628;Osteomielitis vretenca, sakralni in sakrokokcigealni predel
M46.29;M4629;Osteomielitis vretenca, neopredeljeno mesto
M46.3;M463;Okužba medvretenčne ploščice (diskusa) (gnojna)
M46.30;M4630;Okužba medvretenčne ploščice (diskusa) (gnojna), več mest na hrbtenici
M46.31;M4631;Okužba medvretenčne ploščice (diskusa) (gnojna), okcipitalni–atlanto – aksialni predel področje
M46.32;M4632;Okužba medvretenčne ploščice (diskusa) (gnojna), cervikalni predel
M46.33;M4633;Okužba medvretenčne ploščice (diskusa) (gnojna), cervikotorakalni predel
M46.34;M4634;Okužba medvretenčne ploščice (diskusa) (gnojna), torakalni predel
M46.35;M4635;Okužba medvretenčne ploščice (diskusa) (gnojna), torakolumbalni predel
M46.36;M4636;Okužba medvretenčne ploščice (diskusa) (gnojna), lumbalni predel
M46.37;M4637;Okužba medvretenčne ploščice (diskusa) (gnojna), lumbosakralni predel
M46.38;M4638;Okužba medvretenčne ploščice (diskusa) (gnojna), sakralni in sakrokokcigealni predel
M46.39;M4639;Okužba medvretenčne ploščice (diskusa) (gnojna), neopredeljeno mesto
M46.4;M464;Discitis, neopredeljen
M46.40;M4640;Discitis, neopredeljen, več mest na hrbtenici
M46.41;M4641;Discitis, neopredeljen, okcipitalni–atlanto – aksialni predel področje
M46.42;M4642;Discitis, neopredeljen, cervikalni predel
M46.43;M4643;Discitis, neopredeljen, cervikotorakalni predel
M46.44;M4644;Discitis, neopredeljen, torakalni predel
M46.45;M4645;Discitis, neopredeljen, torakolumbalni predel
M46.46;M4646;Discitis, neopredeljen, lumbalni predel
M46.47;M4647;Discitis, neopredeljen, lumbosakralni predel
M46.48;M4648;Discitis, neopredeljen, sakralni in sakrokokcigealni predel
M46.49;M4649;Discitis, neopredeljen, neopredeljeno mesto
M46.5;M465;Druge infekcijske spondilopatije
M46.50;M4650;Druge infekcijske spondilopatije, več mest na hrbtenici
M46.51;M4651;Druge infekcijske spondilopatije, okcipitalni–atlanto – aksialni predel področje
M46.52;M4652;Druge infekcijske spondilopatije, cervikalni predel
M46.53;M4653;Druge infekcijske spondilopatije, cervikotorakalni predel
M46.54;M4654;Druge infekcijske spondilopatije, torakalni predel
M46.55;M4655;Druge infekcijske spondilopatije, torakolumbalni predel
M46.56;M4656;Druge infekcijske spondilopatije, lumbalni predel
M46.57;M4657;Druge infekcijske spondilopatije, lumbosakralni predel
M46.58;M4658;Druge infekcijske spondilopatije, sakralni in sakrokokcigealni predel
M46.59;M4659;Druge infekcijske spondilopatije, neopredeljeno mesto
M46.8;M468;Druge opredeljene vnetne spondilopatije
M46.80;M4680;Druge opredeljene vnetne spondilopatije, več mest na hrbtenici
M46.81;M4681;Druge opredeljene vnetne spondilopatije, okcipitalni–atlanto – aksialni predel področje
M46.82;M4682;Druge opredeljene vnetne spondilopatije, cervikalni predel
M46.83;M4683;Druge opredeljene vnetne spondilopatije, cervikotorakalni predel
M46.84;M4684;Druge opredeljene vnetne spondilopatije, torakalni predel
M46.85;M4685;Druge opredeljene vnetne spondilopatije, torakolumbalni predel
M46.86;M4686;Druge opredeljene vnetne spondilopatije, lumbalni predel
M46.87;M4687;Druge opredeljene vnetne spondilopatije, lumbosakralni predel
M46.88;M4688;Druge opredeljene vnetne spondilopatije, sakralni in sakrokokcigealni predel
M46.89;M4689;Druge opredeljene vnetne spondilopatije, neopredeljeno mesto
M46.9;M469;Vnetna spondilopatija, neopredeljena
M46.90;M4690;Vnetna spondilopatija, neopredeljena, več mest na hrbtenici
M46.91;M4691;Vnetna spondilopatija, neopredeljena, okcipitalni–atlanto – aksialni predel področje
M46.92;M4692;Vnetna spondilopatija, neopredeljena, cervikalni predel
M46.93;M4693;Vnetna spondilopatija, neopredeljena, cervikotorakalni predel
M46.94;M4694;Vnetna spondilopatija, neopredeljena, torakalni predel
M46.95;M4695;Vnetna spondilopatija, neopredeljena, torakolumbalni predel
M46.96;M4696;Vnetna spondilopatija, neopredeljena, lumbalni predel
M46.97;M4697;Vnetna spondilopatija, neopredeljena, lumbosakralni predel
M46.98;M4698;Vnetna spondilopatija, neopredeljena, sakralni in sakrokokcigealni predel
M46.99;M4699;Vnetna spondilopatija, neopredeljena, neopredeljeno mesto
M47;M47;Spondiloza
M47.0;M470;Utesnitveni sindrom sprednje (anteriorne) spinalne in vertebralne arterije (G99.2*)
M47.00;M4700;Utesnitveni sindrom sprednje (anteriorne) spinalne in vertebralne arterije (G99.2*), več mest na hrbtenici
M47.01;M4701;Utesnitveni sindrom sprednje (anteriorne) spinalne in vertebralne arterije (G99.2*), okcipitalni–atlanto–aksialni predel
M47.02;M4702;Utesnitveni sindrom sprednje (anteriorne) spinalne in vertebralne arterije (G99.2*), cervikalni predel
M47.03;M4703;Utesnitveni sindrom sprednje (anteriorne) spinalne in vertebralne arterije (G99.2*), cervikotorakalni predel
M47.04;M4704;Utesnitveni sindrom sprednje (anteriorne) spinalne in vertebralne arterije (G99.2*), torakalni predel
M47.05;M4705;Utesnitveni sindrom sprednje (anteriorne) spinalne in vertebralne arterije (G99.2*), torakolumbalni predel
M47.06;M4706;Utesnitveni sindrom sprednje (anteriorne) spinalne in vertebralne arterije (G99.2*), lumbalni predel
M47.07;M4707;Utesnitveni sindrom sprednje (anteriorne) spinalne in vertebralne arterije (G99.2*), lumbosakralni predel
M47.08;M4708;Utesnitveni sindrom sprednje (anteriorne) spinalne in vertebralne arterije (G99.2*), sakralni in sakrokokcigealni predel
